Density (kg/m3) Temperature (K) Energy (J/kg) Pressure (Pa) Sound speed (m/s) Entropy (J/kg/K)
1e-06	1.0	1.0	4.28890959975e-113	1e-12	-5.77140604027
1e-06	10.0	1.0	4.28890959975e-111	1e-12	-21.5729000535
1e-06	20.0	1.0	1.7155638399e-110	1e-12	-29.4924426627
1e-06	40.0	83.0545802028	6.8622553596e-110	1e-12	-22.3738113131
1e-06	80.0	8066.9758522	2.74490214384e-109	1e-12	102.91833142799999
1e-06	160.0	59276.8703335	1.09796085754e-108	1e-12	527.843070656
1e-06	200.0	94771.40798169999	1.7155638399e-108	1e-12	725.42530533
1e-06	273.0	166784.10578399998	0.312544679732E-77	1e-12	1031.63318471
1e-06	290.0	184344.06975599998	0.388286383734E-61	1e-12	1094.03176029
1e-06	300.0	194769.83914	0.793309249526E-60	1e-12	1129.37814645
1e-06	336.0	232771.649948	0.392517366398E-59	1e-12	1248.99512646
1e-06	376.32	276004.43575	0.132425284896E-47	1e-12	1370.50172265
1e-06	421.4784	325020.179456	0.610653709580E-47	1e-12	1493.50519301
1e-06	472.055808	380440.146342	0.280264154977E-36	1e-12	1617.68181011
1e-06	528.70250496	442966.543179	0.181498211030E-30	1e-12	1742.77299342
1e-06	592.146805555	513393.883342	0.491662497157E-26	1e-12	1868.57652604
1e-06	663.204422222	592617.324122	0.256126950827E-22	1e-12	1994.9314281
1e-06	742.788952888	681644.110171	0.518673131742E-19	1e-12	2121.70968788
1e-06	831.923627235	781606.307675	0.396685203498E-16	2.71830855976e-12	2248.809447
1e-06	931.754462503	893775.3440319999	0.118998094144E-13	6.974864244630001e-10	2376.14986618
1e-06	1043.564998	1019582.4273200001	0.153496325298E-10	7.55896055835e-07	2503.67098073
1e-06	1168.79279776	1160632.6785799998	0.334419392511E-08	0.00013976461642	2631.32486885
1e-06	1309.0479335	1318753.39138	0.409553303269E-06	0.014527195411200003	2759.0951694
1e-06	1466.13368552	1497569.37805	0.431604716951E-04	1.26654837845	2888.06178137
1e-06	1642.06972778	1773086.95303	0.232902490309E-02	41.6007411944	3063.88882223
1e-06	1839.11809511	4745917.76866	0.942013936116E-01	314.805545615	4724.87787816
1e-06	2059.81226652	19177197.5831	0.645423224123E+00	838.976108588	12206.8812701
1e-06	2306.98973851	23262993.9243	0.903136696127E+00	1008.24029248	14094.668400100001
1e-06	2583.82850713	24412982.0822	0.106178940331E+01	1182.08068874	14572.8350363
1e-06	2893.88792798	24739963.1493	0.119644573946E+01	1343.08538054	14691.5809988
1e-06	3241.15447934	25079334.134	0.134471904294E+01	1357.99306031	14795.7983368
1e-06	3630.09301686	25815777.8805	0.152510229945E+01	1356.34606523	14989.534415799999
1e-06	4065.70417888	27854118.3413	0.178315827906E+01	1424.22701949	15473.767302799999
1e-06	4553.58868035	32657803.7425	0.220809831177E+01	1575.77548345	16539.9010505
1e-06	5100.01932199	36320978.2166	0.263995080176E+01	1779.24905631	17307.4972753
1e-06	5712.02164063	39106664.1519	0.308972322237E+01	1934.55675676	17880.3821058
1e-06	6397.46423751	42429899.4854	0.363331987253E+01	2096.94449338	18534.294215500002
1e-06	7165.15994601	48555745.1146	0.435555256155E+01	2213.89539294	19460.116839
1e-06	8024.97913953	65381522.7837	0.561963030195E+01	2496.56999827	21467.6749058
1e-06	8987.97663627	82252902.3264	0.708674424455E+01	2856.29290768	23391.2590695
1e-06	10066.5338326	91418490.9957	0.836313066783E+01	3193.98590801	24390.5219284
1e-06	11274.5178925	99058346.5963	0.974367829380E+01	3466.66985416	25218.0274574
1e-06	12627.4600396	107781699.06899999	0.113873494875E+02	3770.43612531	26139.5323593
1e-06	14142.755244400001	117758126.38299999	0.133508566221E+02	4109.58022221	27166.8794426
1e-06	15839.885873700001	135356835.528	0.157041946581E+02	4234.44978265	28313.3930332
1e-06	17740.672178599998	159705927.664	0.185339049152E+02	4623.97280967	29594.0664588
1e-06	19869.55284	187409693.32599998	0.219471592327E+02	5060.51995188	31025.7709369
1e-06	22253.8991808	222417251.682	0.262563517853E+02	5549.11095323	32796.7053172
1e-06	24924.367082499997	265217469.55	0.315725344795E+02	6088.32452	34829.7051542
1e-06	27915.2911324	316464190.40599996	0.378365431150E+02	6607.97051741	36921.219688
1e-06	31265.126068299996	382868878.78199995	0.449987244875E+02	7177.25995781	38932.479618
1e-06	35016.941196499996	454469890.676	0.534628005196E+02	7886.9685636	41043.079027800006
1e-06	39218.9741401	536802990.65	0.636208944511E+02	8504.27270568	43345.8292379
1e-06	43925.2510369	650562884.344	0.759642463315E+02	9346.81614094	45926.154395599995
1e-06	49196.2811613	762075324.881	0.900741747484E+02	10272.7419428	48411.6752485
1e-06	55099.8349007	893804651.605	0.107333732604E+03	11186.040497299999	51261.1732926
1e-06	61711.815088699994	1092992539.18	0.128330196910E+03	12096.677324299999	54455.570995500006
1e-06	69117.2328994	1354144440.26	0.155210279086E+03	13325.5445484	58438.6206909
1e-06	77411.30084730001	1724342012.41	0.189945115689E+03	14651.321089500001	63381.972388300004
1e-06	86700.656949	1914078088.06	0.220289464625E+03	16482.091881099997	65716.5188822
1.7240514047900001e-06	1.0	1.0	4.28890959975e-113	1e-12	-5.77140604027
1.7240514047900001e-06	10.0	1.0	4.28890959975e-111	1e-12	-21.5729000535
1.7240514047900001e-06	20.0	1.0	1.7155638399e-110	1e-12	-29.4924426627
1.7240514047900001e-06	40.0	83.0545802028	6.8622553596e-110	1e-12	-22.3738113131
1.7240514047900001e-06	80.0	8066.9758522	2.74490214384e-109	1e-12	102.91833142799999
